,EW5,EW6,EW8,EW9,EW10,EW14A,EW15A,EW15B,EW16A,EW16B,EW16C,EW18A,EW18B,HB1,HB2,HB3,HB4,HB5,HB6,HB7,HB8,AI1,GR9F,GR13A,GR16A,GR18A,GR18B,GR22,GR27A,MH1A,MH1E,MH2,MH4A,FP2A,URBAN2011,METRO,ID11,ID13,COPC,INCOMEPC,NPERSONS,ED2,ED4
32,2,5,1,6,4,0,1,1,0,0,0,1,1,0,0,1,3,2,2,3,3,0,1,0,0,0,0,0,0,2,1,1,2,1,0,0,2,2,3.0,2.0,8,0,0
33,2,3,1,4,3,0,1,1,0,1,0,2,1,0,,1,2,2,1,2,1,0,1,0,0,0,0,0,1,0,1,1,3,1,0,0,2,2,3.0,2.0,7,1,1
34,2,2,1,3,3,0,1,1,0,0,0,1,1,0,,3,2,2,4,4,5,0,1,0,0,0,0,1,1,1,1,1,2,1,0,0,2,2,3.0,2.0,5,0,0
35,2,4,1,3,2,0,1,1,0,1,0,1,1,1,,1,3,2,2,3,3,0,1,0,0,0,0,0,1,2,1,1,3,1,0,0,2,2,3.0,3.0,5,0,0
36,2,4,1,3,2,0,1,1,0,1,0,16,2,0,,1,2,4,4,4,5,0,1,0,0,0,0,0,1,0,1,1,2,0,0,0,2,2,3.0,3.0,8,0,0
37,2,4,1,5,2,0,1,2,0,1,0,1,1,0,1,1,2,2,4,4,,0,1,0,0,0,0,0,1,2,1,1,3,1,0,0,2,2,2.0,2.0,5,0,0
38,2,3,1,4,5,0,1,1,0,0,0,1,1,1,1,2,2,2,4,3,3,1,1,0,0,0,0,0,1,1,1,1,2,1,0,0,2,2,1.0,1.0,6,0,0
39,2,3,1,2,4,0,1,1,0,0,0,1,1,1,1,1,2,3,4,4,,1,1,0,0,0,0,1,0,0,1,1,3,1,0,0,2,2,2.0,2.0,4,0,0
40,2,4,1,6,4,0,1,1,0,0,0,3,1,0,1,1,2,2,4,4,5,0,1,0,0,0,0,0,1,1,1,1,3,1,0,0,2,2,2.0,2.0,8,0,0
41,2,4,1,6,5,0,1,1,0,0,0,1,1,0,1,1,2,2,4,3,5,0,1,0,0,0,0,0,1,2,2,1,3,,0,0,2,2,3.0,1.0,8,0,0
42,4,4,1,4,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,1,1,1,3,0,0,0,2,3,2.0,1.0,15,0,0
43,2,5,1,8,3,0,1,1,0,0,0,2,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,1,2,1,1,2,1,0,0,2,3,2.0,2.0,9,0,0
44,2,4,1,6,4,0,1,1,0,0,0,2,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,0,0,0,2,,3.0,3.0,6,0,0
45,4,3,1,3,4,0,1,1,0,0,0,3,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,2,1,1,3,0,0,0,2,,3.0,2.0,16,0,0
46,2,4,1,4,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,3,0,0,0,2,3,2.0,2.0,8,0,0
47,4,2,1,1,3,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,0,1,0,0,0,0,1,1,2,1,1,3,0,0,0,2,3,2.0,2.0,8,0,0
48,1,5,1,5,3,0,1,1,0,0,0,1,1,0,1,1,2,2,3,4,3,0,,0,0,0,0,0,1,0,1,2,3,,0,0,2,3,3.0,2.0,4,0,0
49,2,3,1,2,4,0,1,1,0,0,0,1,1,0,1,1,2,3,4,4,,0,1,0,0,0,0,1,1,1,1,1,3,0,0,0,2,,3.0,1.0,4,0,1
50,2,5,1,3,4,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,2,1,0,0,2,3,2.0,1.0,9,0,0
51,4,2,1,1,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,1,1,2,1,1,2,1,0,0,2,3,2.0,1.0,9,0,0
52,2,4,1,4,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,0,2,1,1,2,1,0,0,2,3,2.0,1.0,8,0,0
53,2,4,1,6,3,0,1,1,0,0,0,1,2,0,1,1,2,2,4,4,3,1,1,0,0,0,0,1,1,1,1,1,3,1,0,0,2,3,2.0,2.0,9,0,0
54,4,2,1,3,5,0,1,1,0,0,0,2,2,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,1,1,1,3,1,0,0,2,2,3.0,2.0,10,1,1
55,3,3,1,3,3,1,1,1,0,1,0,1,1,0,1,1,2,2,2,3,3,1,0,0,0,0,0,1,1,2,1,1,3,1,0,0,2,,3.0,3.0,9,1,1
56,2,4,1,4,4,0,1,1,0,0,0,1,1,0,1,1,2,2,4,4,3,1,1,0,0,0,0,0,1,0,1,1,3,0,0,0,2,5,3.0,1.0,5,0,0
57,4,2,1,0,2,0,1,1,0,0,0,16,1,1,1,1,2,1,4,4,3,1,1,0,0,0,0,0,1,2,1,1,3,0,0,0,2,5,3.0,1.0,5,1,1
58,2,5,1,5,4,0,1,1,0,0,0,1,1,0,1,2,2,2,4,4,4,1,1,,,,,0,1,0,1,1,3,1,0,0,2,2,3.0,2.0,8,1,1
59,2,4,1,5,1,0,1,1,0,0,0,1,2,0,,1,2,2,4,4,3,0,1,0,0,0,0,0,1,0,1,1,2,1,0,0,2,3,3.0,3.0,6,0,0
60,2,4,1,5,4,0,1,1,0,1,0,1,1,1,0,1,2,2,1,3,1,0,1,1,0,0,0,0,1,0,1,1,3,0,0,0,2,6,3.0,3.0,9,0,0
61,4,3,2,3,3,0,1,2,0,1,1,16,1,0,1,1,2,2,2,3,3,1,0,0,0,0,0,1,1,2,1,1,2,0,0,0,2,2,3.0,3.0,10,1,1
62,4,2,1,2,2,0,1,1,0,0,0,1,1,0,,1,3,3,4,4,,0,1,0,0,0,0,1,1,2,1,1,3,1,0,0,2,2,2.0,2.0,17,,
63,2,4,1,2,2,0,1,1,0,0,0,2,1,,,1,2,2,2,3,3,0,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,3.0,3.0,4,0,0
64,4,2,1,0,4,0,1,1,0,0,0,1,1,0,0,3,3,3,4,2,3,1,1,0,0,0,0,0,1,1,1,1,3,,0,0,2,2,2.0,2.0,5,1,1
65,2,4,1,6,3,0,1,1,0,0,0,1,1,0,,1,2,2,4,3,3,0,1,0,0,0,1,0,0,2,2,1,2,1,0,0,2,2,3.0,2.0,8,0,0
66,2,5,1,1,4,0,1,1,0,0,0,1,1,,,1,2,,4,4,5,0,1,0,0,0,0,0,1,2,1,1,3,0,0,0,2,2,2.0,1.0,3,0,1
67,2,3,1,4,3,0,1,1,0,0,0,1,1,0,1,2,2,2,4,2,1,1,1,0,0,0,0,,0,1,2,1,2,1,0,0,2,2,2.0,2.0,6,0,0
